absolutely абсолютно
fitness фитнес
fixed зафиксированный
flag флаг
flood наводнение
flour мука
flow поток
fold складывать
folk народный
following следующий
force сила
forever навсегда
frame рамка
freeze заморозить
frequently часто
friendship дружба
frighten пугать
frightened испуганный
frightening пугающий
frozen замороженный
fry жарить
fuel топливо
function функция
fur шерсть
further дальше
garage гараж
gather собирать
generally в целом
generation поколение
generous щедрый
gentle нежный
gentleman джентльмен
ghost призрак
giant гигант
glad радостный
global Глобальный
glove перчатка
go идти
goods товары
grade оценка
graduate выпускник
grain зерно
grateful благодарный
growth рост
guard сторожить
guilty виновный
hand рука
hang вешать
happiness счастье
hardly едва ли
hate ненавидеть
head голова
headline Заголовок
heating обогрев
heavily сильно
helicopter вертолет
highlight выделять
highly высоко
hire нанимать
historic исторический
historical исторический
honest честный
horrible ужасный
horror ужастик
host хозяин
hunt охотиться
hurricane ураган
hurry торопиться
identity личность
ignore игнорировать
illegal незаконный
imaginary воображаемый
immediate немедленный
immigrant иммигрант
impact влияние
import Импортировать
importance важность
impression впечатление
impressive впечатляющий
improvement улучшение
incredibly невероятно
indeed действительно
indicate указывать
indirect косвенный
indoor в помещении
indoors в помещении
influence влияние
ingredient ингредиент
injure ранить
injured раненый
innocent невиновный
intelligence интеллект
intend намереваться
intention намерение
invest вкладывать деньги
investigate расследовать
involved вовлеченный
iron железо
issue проблема
IT ЭТО
journal журнал
judge судить
keen увлеченный
key ключ
keyboard клавиатура
kick пинать
killing убийство
kind добрый
kiss целовать
knock стучать
label этикетка
laboratory лаборатория
lack недостаток
latest последний
lay класть
layer слой
lead вести
leading ведущий
leaf лист
leather кожа
legal законный
leisure досуг
length длина
level уровень
lie ЛОЖЬ
like нравиться
limit ограничение
lip губа
liquid жидкость
literature литература
live жить
living жизнь
local местный
locate найти
located располагается
location расположение
lonely одинокий
loss потеря
luxury роскошь
mad безумный
magic магия
mainly в основном
mall торговый центр
management управление
market рынок
marketing маркетинг
marriage свадьба
meanwhile тем временем
measure мера
medium середина
mental психический
mention упомянуть
mess беспорядок
mild мягкий
mine мой
mix смешивание
mixture смесь
mood настроение
move двигаться
mud грязь
murder убийство
muscle мышца
musical музыкальный
mystery тайна
nail ноготь
narrative повествование
nation нация
native родной
naturally естественно
necessarily обязательно
need нуждаться
needle иголка
neighbourhood район
neither ни один
net сеть
next следующий
nor ни
normal нормальный
northern северный
note примечание
now сейчас
nuclear ядерный
obvious очевидный
obviously очевидно
occasion повод
occur происходить
odd странный
official официальный
old-fashioned старомодный
once один раз
operation операция
organized организованный
organizer организатор
original оригинальный
originally первоначально
ought должен
ours наш
outdoor открытый
outdoors на открытом воздухе
pack пакет
package упаковка
painful болезненный
pale бледный
pan кастрюля
participate участвовать
particularly особенно
pass проходить
passion страсть
path путь
payment оплата
peaceful мирный
percentage процент
perfectly в совершенстве
performance производительность
personally лично
persuade убеждать
photographer фотограф
photography фотография
pin приколоть
pipe трубка
place место
planning планирование
pleasant приятный
pleasure удовольствие
plenty множество
plot сюжет
plus1 плюс1
poem стих
poet поэт
poetry поэзия
point точка
poison яд
poisonous ядовитый
policy политика
political политический
politician политик
politics политика
port порт
portrait портрет
possibly возможно
pot горшок
pour налить
poverty бедность
powder пудра
powerful мощный
practical практичный
pray молиться
prayer молитва
prediction прогноз
prepared готовый
presentation презентация
press нажимать
pressure давление
pretend притворяться
previous предыдущий
previously ранее
priest священник
primary начальный
prince принц
princess принцесса
printing печать
prisoner заключенный
private частный
producer режиссер
production производство
profession профессия
profit выгода
program программа
promote продвигать
proper правильный
properly правильно
property свойство
protest акция протеста
proud гордый
prove доказывать
pull тянуть
punish наказывать
punishment наказание
push толкать
qualification квалификация
qualified квалифицированный
qualify квалифицироваться
queue очередь
quit покидать
quotation цитата
quote цитировать
race раса
racing гонки
range диапазон
rare редкий
rarely редко
reaction реакция
reality реальность
receipt квитанция
recommendation рекомендация
reference ссылка
reflect отражать
regularly регулярно
reject отклонять
relate иметь отношение к
related связанный
relation связь
relative родственник
relaxed расслабленный
relaxing расслабляющий
release выпускать
reliable надежный
religion религия
religious религиозный
remain оставаться
remind напоминать
remote удаленный
rent арендовать
repair ремонт
repeat повторить
repeated повторный
represent представлять
request запрос
require требовать
reservation бронирование
resource ресурс
respect уважать
responsibility ответственность
responsible ответственный
result результат
retire уходить в отставку
retired ушедший на пенсию
revise исправлять
ring2 кольцо2
rise рост
risk риск
robot робот
roll рулон
romantic романтик
rope веревка
rough грубый
row ряд
royal королевский
rugby регби
rule правило
safety безопасность
sail плыть
sailor матрос
sample образец
sand песок
scan сканирование
scientific научный
script сценарий
sculpture скульптура
secondary вторичный
security безопасность
seed семя
sensible разумный
separate отдельный
seriously серьезно
servant слуга
set набор
set набор
setting параметр
sex секс,пол
sexual сексуальный
shake встряхнуть
share делиться
sharp острый
shelf полка
shell оболочка
shift сдвиг
shine светить
shiny блестящий
shoot стрелять
shy застенчивый
sight взгляд
signal сигнал
silent тихий
silly глупый
similarity сходство
similarly сходным образом
simply просто
since с
sink раковина
slice кусочек
slightly немного
slow медленный
smart умный
smooth гладкий
software программное обеспечение
soil земля
solid твердый
sort Сортировать
southern южный
specifically конкретно
spending расходы
spicy острый
spirit дух
spoken разговорный
spot место
spread распространение
spring весна
stadium стадион
staff персонал
standard стандартный
state состояние
statistic статистика
statue статуя
stick палка
stick палка
still все еще
store магазин
stranger незнакомец
strength сила
string нить
strongly сильно
studio студия
stuff вещи
substance вещество
successfully успешно
sudden внезапный
suffer страдать
suit подходить
suitable подходящий
summarize подведем итог
summary краткое содержание
supply поставлять
supporter сторонник
surely конечно
surface поверхность
survive выживать
swim плавать
switch выключатель
symptom симптом
tail хвост
talent талант
talented талантливый
tape лента
tax налог
technical технический
technique техника
tend иметь тенденцию
tent палатка
that что
theirs их
theme тема
theory теория
therefore поэтому
this этот
though хотя
throat горло
throughout через
tight тугой
till до
tin банка
tiny крошечный
tip кончик
toe палец на ноге
tongue язык
total общий
totally полностью
touch трогать
tour тур
trade торговля
translate переводить
translation перевод
transport транспорт
treat обращаться
treatment уход
trend тенденция
trick обманывать
truth правда
tube трубка
type тип
typically обычно
tyre шина
ugly уродливый
unable не могущий
uncomfortable неудобный
underwear нижнее белье
unemployed безработные
unemployment безработица
unfair несправедливый
union союз
unless пока не
unlike В отличие от
unlikely вряд ли
unnecessary ненужный
unpleasant неприятный
update обновлять
upon на
upset расстройство
used использовал
valuable ценный
value ценить
various различный
version версия
victim жертва
view вид
viewer зритель
violent жестокий
volunteer волонтер
vote голосование
warm теплый
warn предупреждать
warning предупреждение
waste напрасно тратить
water вода
wave волна
weapon оружие
weigh взвешивать
western вестерн
whatever что бы ни
whenever в любое время
whether ли
while пока
whole весь
will воля
win победить
wing крыло
within в пределах
wonder удивляться
wool шерсть
worldwide Мировой
worry волноваться
worse худший
worst худший
worth ценность
written написано
wrong неправильный
yard площадка
young молодой
youth молодость
