ability способность
link связь
listener слушатель
little маленький
lock замок
look смотреть
lorry грузовик
lost потерянный
loud громкий
loudly громко
lovely прекрасный
low низкий
luck удача
lucky удачливый
mail почта
major главный
male мужской
manage управлять
manager менеджер
manner манера
mark отметка
marry выйти замуж
material материал
mathematics математика
maths математика
matter иметь значение
may может
media СМИ
medical медицинский
medicine лекарство
memory Память
mention упомянуть
metal металл
method метод
middle середина
might мощь
mind разум
mine мой
mirror зеркало
missing отсутствующий
mobile мобильный
monkey обезьяна
moon луна
mostly по большей части
motorcycle мотоцикл
movement движение
musical музыкальный
musician музыкант
myself сам
narrow узкий
national национальный
nature природа
nearly около
necessary необходимый
neck шея
need нуждаться
neither ни один
nervous нервный
network сеть
noise шум
noisy шумный
none никто
normal нормальный
normally обычно
notice уведомление
novel роман
nowhere нигде
number число
nut орех
ocean океан
offer предложение
officer офицер
oil масло
onto на
opportunity возможность
option вариант
ordinary обычный
organization организация
organize организовать
original оригинальный
ourselves сами
outside снаружи
oven печь
own собственный
owner владелец
pack пакет
pain боль
painter художник
palace дворец
pants брюки
parking стоянка
particular особый
pass проходить
passenger пассажир
past прошлое
patient пациент
pattern шаблон
pay платить
peace мир
penny пенни
per за
perform выполнять
perhaps возможно
permission разрешение
personality личность
pet домашний питомец
petrol бензин
photograph фотография
physical физический
physics физика
pick выбирать
pilot пилот
planet планета
plant растение
plastic пластик
plate тарелка
platform Платформа
please пожалуйста
pleased довольный
pocket карман
polite вежливый
pollution загрязнение
pop поп
population Население
position позиция
possession владение
possibility возможность
poster плакат
power власть
predict предсказывать
present подарок
president президент
prevent предотвращать
print Распечатать
printer принтер
prison тюрьма
prize приз
process процесс
produce производить
professional профессиональный
professor профессор
profile профиль
program программа
progress прогресс
promise обещать
pronounce произносить
protect защищать
provide предоставлять
pub паб
public публичный
publish публиковать
pull тянуть
purpose цель
push толкать
quality качество
quantity количество
queen королева
question вопрос
quietly тихо
race раса
railway Железнодорожный
raise поднимать
rate ставка
rather скорее
reach достигать
react реагировать
realize понимать
receive получать
recent недавний
recently недавно
reception прием
recipe рецепт
recognize распознавать
recommend рекомендовать
record записывать
recording запись
recycle перерабатывать
reduce уменьшать
refer ссылаться
refuse1 отказ1
region область
regular обычный
relationship отношение
remove удалять
repair ремонт
replace заменять
reply отвечать
report отчет
reporter репортер
request запрос
research исследовать
researcher Исследователь
respond отвечать
response ответ
rest отдых
rest отдых
review обзор
ride поездка
ring кольцо
rise рост
rock камень
rock камень
role роль
roof крыша
round круглый
route маршрут
rubbish мусор
rude грубый
run бегать
runner бегун
running бег
sadly грустно
safe безопасный
sail плыть
sailing парусный спорт
salary зарплата
sale распродажа
sauce соус
save сохранять
scared испуганный
scary страшный
scene сцена
schedule расписание
score счет
screen экран
search поиск
season время года
seat сиденье
second1 второй1
secondly во-вторых
secret секрет
secretary секретарь
seem казаться
sense смысл
separate отдельный
series ряд
serious серьезный
serve служить
service услуга
several несколько
shake встряхнуть
shall должен
shape форма
sheet лист
ship корабль
shoulder плечо
shout кричать
shut закрыть
side сторона
sign знак
silver серебро
simple простой
since с
singing пение
single одинокий
sir сэр
site сайт
size размер
ski лыжи
skiing горнолыжный спорт
skin кожа
sky небо
sleep спать
slowly медленно
smartphone смартфон
smell запах
smile улыбка
smoke дым
smoking курение
soap мыло
soccer футбольный
social Социальное
society общество
sock носок
soft мягкий
soldier солдат
solution решение
solve решать
somewhere где-то
sort Сортировать
source источник
speaker оратор
specific специфический
speech речь
speed скорость
spider паук
spoon ложка
square квадрат
stage этап
stair лестница
stamp печать
star звезда
start начинать
state состояние
stay оставаться
steal воровать
step шаг
stomach желудок
stone камень
store магазин
storm буря
straight прямой
strange странный
strategy стратегия
stress стресс
structure состав
stupid глупый
succeed преуспевать
successful успешный
such такой
suddenly внезапно
suggest предлагать
suggestion предположение
suit подходить
support поддерживать
suppose предполагать
sure конечно
surprise сюрприз
surprised удивлен
surprising удивительный
survey опрос
sweet сладкий
symbol символ
system система
tablet планшет
talk разговаривать
target цель
task задача
taste вкус
teaching обучение
technology технологии
teenage подростковый
temperature температура
term срок
text текст
themselves сами себя
thick толстый
thief вор
thin тонкий
thinking мышление
third третий
thought мысль
throw бросать
tidy аккуратный
tie галстук
tip кончик
tool инструмент
top вершина
touch трогать
tour тур
tourism туризм
towards к
towel полотенце
tower башня
toy игрушка
track отслеживать
tradition традиция
traditional традиционный
train тренироваться
trainer тренер
training обучение
transport транспорт
traveller путешественник
trouble беда
truck грузовик
twin близнец
typical типичный
underground метро
understanding понимание
unfortunately к сожалению
unhappy несчастный
uniform униформа
unit единица
united объединенный
unusual необычный
upstairs вверх по лестнице
use использовать
used использовал
user пользователь
usual обычный
valley долина
van фургон
variety разнообразие
vehicle транспортное средство
view вид
virus вирус
voice голос
wait ждать
war война
wash стирать
washing мойка
wave волна
weak слабый
web сеть
wedding свадьба
weight масса
welcome добро пожаловать
wet влажный
wheel колесо
while пока
whole весь
whose чей
wide широкий
wild дикий
wind ветер
winner победитель
wish желание
wood древесина
wooden деревянный
working работающий
worried волновался
worry волноваться
worse худший
worst худший
wow ух ты
yet еще
yours твой
zero нуль
