abandon покидать
lively оживленный
load нагрузка
loan заем
logical логический
long-term долгосрочный
loose свободный
lord господин
low низкий
lower ниже
lung легкое
maintain поддерживать
majority большинство
make делать
map карта
mass масса
massive массивный
master владелец
matching соответствие
material материал
maximum максимум
means означает
measurement измерение
medium середина
melt таять
military военный
mineral минеральная
minimum минимум
minister министр
minor незначительный
minority меньшинство
mission миссия
mistake ошибка
mixed смешанный
model модель
modify изменить
monitor монитор
moral моральный
motor двигатель
mount устанавливать
multiple несколько
multiply умножить
mysterious загадочный
narrow узкий
national национальный
neat аккуратный
negative отрицательный
nerve нерв
nevertheless тем не менее
nightmare кошмар
notion понятие
numerous многочисленные
obey подчиняться
object объект
objective цель
obligation обязательство
observation наблюдение
observe наблюдать
obtain получать
occasionally изредка
offence оскорбление
offend обидеть
offensive оскорбительный
official официальный
opening открытие
operate действовать
opponent противник
oppose выступать против
opposed против
opposition оппозиция
organ орган
origin источник
otherwise в противном случае
outcome исход
outer внешний
outline контур
overall общий
owe быть должным
pace шаг
package упаковка
panel панель
parliament парламент
participant участник
partly частично
passage проход
patient пациент
pension пенсия
permanent постоянный
permit разрешать
perspective перспектива
phase фаза
phenomenon явление
philosophy философия
pick выбирать
picture картина
pile куча
pitch подача
plain простой
plot сюжет
plus плюс
pointed заостренный
popularity популярность
pose поза
position позиция
positive положительный
possess владеть
potential потенциал
power власть
praise хвалить
pregnant беременная
preparation подготовка
presence присутствие
preserve сохранять
price цена
prime основной
principle принцип
print Распечатать
priority приоритет
privacy конфиденциальность
procedure процедура
process процесс
produce производить
professional профессиональный
progress прогресс
project проект
proof доказательство
proposal предложение
propose предлагать
prospect перспектива
protection защита
psychologist психолог
psychology психология
publication публикация
pupil ученик
purchase покупка
pure чистый
pursue преследовать
range диапазон
rank классифицировать
rapid стремительный
rapidly быстро
rate ставка
raw сырой
reach достигать
realistic реалистичный
reasonable разумный
recall отзывать
recover восстанавливаться
reduction снижение
regard внимание
regional региональный
register регистр
regret сожалеть
regulation регулирование
relatively относительно
relevant соответствующий
relief облегчение
rely полагаться
remark замечание
representative представитель
reputation репутация
requirement требование
rescue спасать
reserve бронировать
resident житель
resist сопротивляться
resolve решать
resort прибегнуть
retain удерживать
reveal раскрывать
revolution революция
reward награда
rhythm ритм
rid избавлять
root корень
round круглый
routine рутина
rub натирать
rubber резина
rural деревенский
rush торопиться
sample образец
satellite спутник
satisfied удовлетворен
satisfy удовлетворить
saving сохранение
scale шкала
schedule расписание
scheme схема
scream крик
screen экран
seat сиденье
sector сектор
secure безопасный
seek искать
select выбирать
selection выбор
self себя
senior старшая
sense смысл
sensitive чувствительный
sentence предложение
sequence последовательность
session сеанс
settle решить
severe серьезный
shade оттенок
shadow тень
shallow мелкий
shame стыд
shape форма
shelter приют
shift сдвиг
ship корабль
shock шок
shocked в шоке
shooting стрельба
shot выстрелил
significant значительный
significantly существенно
silence тишина
silk шелк
sincere искренний
slave раб
slide горка
slight незначительный
slip соскальзывать
slope склон
solar солнечный
somewhat в некотором роде
soul душа
specialist специалист
species разновидность
speed скорость
spiritual духовный
split расколоть
sponsor спонсор
spot место
spread распространение
stable стабильный
stage этап
stand стоять
stare глазеть
status положение дел
steady устойчивый
steel сталь
steep отвесный
step шаг
sticky липкий
stiff жесткий
stock запас
stream транслировать
stretch потягиваться
strict строгий
strike ударять
structure состав
struggle борьба
stuff вещи
subject предмет
submit представлять на рассмотрение
sum сумма
surgery операция
surround окружать
surrounding окружающий
survey опрос
suspect подозревать
swear ругаться
sweep мести
switch выключатель
sympathy сочувствие
tale сказка
tank бак
target цель
tear рвать
tear рвать
temporary временный
term срок
therapy терапия
threat угроза
threaten угрожать
thus таким образом
time время
title заголовок
tone тон
tough жесткий
track отслеживать
transfer передача
transform трансформировать
transition переход
trial пробный
trip путешествие
tropical тропический
trouble беда
truly действительно
trust доверять
try пытаться
tune мелодия
tunnel туннель
ultimately в конечном счете
unconscious бессознательный
unexpected непредвиденный
unique уникальный
universe вселенная
unknown неизвестный
upper верхний
upwards вверх
urban городской
urge побуждать
value ценить
vary отличаться
vast огромный
venue место проведения
very очень
via с помощью
victory победа
violence насилие
virtual виртуальный
vision зрение
visual визуальный
vital жизненно важный
vitamin витамин
volume объем
wage заработная плата
way способ
weakness слабость
wealth богатство
wealthy богатый
whereas тогда как
wherever где бы
whisper шепот
whom кому
widely широко
wildlife дикая природа
willing готовый
wind ветер
wire проволока
wise мудрый
witness свидетель
worse худший
worst худший
worth ценность
wound ранить
wrap сворачивать
wrong неправильный
yet еще
zone зона
